t,alder,p_i_live,indbetaling_dkk,udbetaling_dkk,omkostning_dkk,faktisk_udgift_dkk,omkostningsresultat_dkk,enhedspris,betinget_aldersopsparing_dkk,betinget_ratepension_dkk,betinget_livrente_dkk,betinget_depot_dkk,forventet_aldersopsparing_dkk,forventet_ratepension_dkk,forventet_livrente_dkk,forventet_depot_dkk,b_aldersopsparing,b_ratepension,b_livrente,b_omkostning
0.0,44.99931553730322,1.0,0.0,0.0,0.0,0.0,0.0,100.0,180000.0,360000.0,360000.0,900000.0,180000.0,360000.0,360000.0,900000.0,0.0,0.0,0.0,0.0
0.08333333333333333,45.082648870636554,0.9997670202620776,8000.0,0.0,391.66666666666663,266.66666666666663,125.0,100.40741237836484,181483.0509601485,364522.4168121617,365300.574258094,911306.0420304041,181440.76908649848,364437.49047502596,365215.46662604046,911093.7261875648,-9900.0,-38400.0,-47700.0,4700.0
0.16666666666666666,45.16598220396988,0.9995326548970693,8000.0,0.0,396.3775175126683,269.49317717426766,126.88434033840065,100.8164846051901,182971.53788755418,369061.366492843,370620.5118517104,922653.4162321076,182886.02703534675,368888.8874705317,370447.30417045084,922222.2186763292,-9900.0,-38400.0,-47700.0,4756.53021015202
0.25,45.24931553730322,0.9992968940655262,8000.0,0.0,401.10559009671147,272.3300207246935,128.77556937201797,101.22722344290393,184465.48035466069,373616.90948223654,375959.8838686942,934042.2737055914,184335.78158071777,373354.21721595986,375695.54424322204,933385.5430398997,-9900.0,-38400.0,-47700.0,4813.267081160538
0.3333333333333333,45.332648870636554,0.9990597278624237,8000.0,0.0,405.85094737732976,275.1772350930645,130.67371228426526,101.63963568148534,185964.8980147296,378189.1064414891,381318.7616475041,945472.7661037229,185790.04040255913,377833.5057619673,380960.21824039187,944583.7644049183,-9900.0,-38400.0,-47700.0,4870.211368527957
0.41666666666666663,45.41598220396988,0.9988211463167882,8000.0,0.0,410.6136525432178,278.03485819259737,132.57879435062046,102.05372813857663,187469.81060175877,382778.01825351035,386697.21677850693,956945.0456337761,187248.81112503988,382326.7789768397,386241.35734021984,955816.9474420995,-9900.0,-38400.0,-47700.0,4927.363830518614
0.49999999999999994,45.49931553730322,0.9985811393913238,8000.0,0.0,415.3937690140733,280.90292807511065,134.49084093896266,102.46950765959599,188980.23793041884,387383.70602378325,392095.32110525615,968459.2650594583,188712.1013150011,386834.0625428631,391538.99249929364,967085.1563571579,-9900.0,-38400.0,-47700.0,4984.72522816888
0.5833333333333333,45.582648870636554,0.9983396969820368,8000.0,0.0,420.1913604414409,283.7814829315312,136.40987750990973,102.88698111785068,190496.19989600778,392006.23108117754,397513.1467257587,980015.5777029439,190179.91848040992,391355.3819526531,396853.15444856987,978388.4548816328,-9900.0,-38400.0,-47700.0,5042.296325297291
0.6666666666666666,45.66598220396988,0.9980968089178609,8000.0,0.0,425.00649070956,286.67056109240264,138.33592961715738,103.30615541465069,192017.7164744219,396645.65497876675,402950.76599372836,991614.1374469169,191652.27006881507,395890.76250544196,402183.873689348,989726.9062636049,-9900.0,-38400.0,-47700.0,5100.07788851472
0.75,45.74931553730322,0.9978524649602789,8000.0,0.0,429.83922393621543,289.5702010283959,140.26902290781953,103.72703747942278,193544.80772214258,401302.0394946475,408408.2515198288,1003255.0987366189,193129.1634658032,400440.2293033212,407531.18048917875,1001100.5732583031,-9900.0,-38400.0,-47700.0,5158.070687234585
