t,alder,p_i_live,indbetaling_dkk,udbetaling_dkk,omkostning_dkk,faktisk_udgift_dkk,omkostningsresultat_dkk,enhedspris,betinget_aldersopsparing_dkk,betinget_ratepension_dkk,betinget_livrente_dkk,betinget_depot_dkk,forventet_aldersopsparing_dkk,forventet_ratepension_dkk,forventet_livrente_dkk,forventet_depot_dkk,b_aldersopsparing,b_ratepension,b_livrente,b_omkostning
0.0,49.998631074606436,1.0,0.0,0.0,0.0,0.0,0.0,100.0,150000.0,200000.0,650000.0,1000000.0,150000.0,200000.0,650000.0,1000000.0,0.0,0.0,0.0,0.0
0.08333333333333333,50.08196440793977,0.9996583131947421,17600.0,0.0,433.3333333333333,291.66666666666663,141.66666666666669,100.40741237836484,151374.21490162282,204262.14591505352,665674.3687585914,1021310.7295752678,151322.49232973467,204192.35223498067,665446.9166101882,1020961.7611749036,-9900.0,-42240.0,-159060.0,5200.0
0.16666666666666666,50.1652977412731,0.9993144853008538,17600.0,0.0,442.21280398969486,296.9943490604836,145.21845492921125,100.8164846051901,152753.48346315182,208539.87321080515,681406.0093800686,1042699.3660540256,152648.76870489205,208396.91606236104,680938.895544552,1041984.5803118051,-9900.0,-42240.0,-159060.0,5306.553647876339
0.25,50.248631074606436,0.9989685016114599,17600.0,0.0,451.124735855844,302.34150818017304,148.78322767567096,101.22722344290393,154137.8230409497,212833.23884903642,697195.132355196,1064166.1942451822,153978.83012486988,212613.70170613588,696475.9766996737,1063068.5085306794,-9900.0,-42240.0,-159060.0,5413.496830270128
0.3333333333333333,50.33196440793977,0.9986203473290943,17600.0,0.0,460.0692476021591,307.7082152279621,152.361032374197,101.63963568148534,155527.25111634115,217142.29999976742,713041.9488827286,1085711.4999988372,155312.67752893988,216842.71904560615,712058.1986534847,1084213.5952280308,-9900.0,-42240.0,-159060.0,5520.83097122591
0.41666666666666663,50.4152977412731,0.9982700075653024,17600.0,0.0,469.04645833284883,313.09454166637596,155.95191666647287,102.05372813857663,156921.78529164163,221467.1140420181,728946.6708764309,1107335.5702100906,156650.31179024786,221083.9776101911,727685.5986505167,1105419.8880509555,-9900.0,-42240.0,-159060.0,5628.557499994186
0.49999999999999994,50.498631074606436,0.9979174673402433,17600.0,0.0,478.05648758753773,318.5005592191893,159.55592836834842,102.46950765959599,158321.4432865624,225807.73856457238,744909.5109717274,1129038.6928228622,157991.73371017832,225337.48657418587,743358.2125865654,1126687.4328709296,-9900.0,-42240.0,-159060.0,5736.677851050453
0.5833333333333333,50.58196440793977,0.9975627115822948,17600.0,0.0,487.0994553428592,323.9263398723822,163.173115470477,102.88698111785068,159726.24293495336,230164.2313667448,760930.6825320261,1150821.1568337241,159336.94401304444,229603.2547514646,759076.0749928142,1148016.2737573232,-9900.0,-42240.0,-159060.0,5845.193464114311
0.6666666666666666,50.6652977412731,0.9972057251276575,17600.0,0.0,496.1754820140518,329.37195587509774,166.80352613895406,103.30615541465069,161136.20218184884,234536.6504591504,777010.3996547529,1172683.252295752,160685.9433410674,233881.290590129,774839.2190194489,1169406.4529506452,-9900.0,-42240.0,-159060.0,5954.1057841686215
0.75,50.748631074606436,0.9968464927199614,17600.0,0.0,505.28468845656346,334.83747974060475,170.4472087159587,103.72703747942278,162551.33908078543,238925.05406447698,793148.8771771227,1194625.2703223852,162038.73224961414,238171.60216710102,790647.6764187902,1190858.0108355056,-9900.0,-42240.0,-159060.0,6063.416261478762
0.8333333333333334,50.83196440793977,0.9964849990098733,17600.0,0.0,514.4271959676605,340.322984247263,174.10421172039753,104.14963426982509,163971.67179136505,243329.50061826067,809346.3306816779,1216647.5030913036,163395.31120266567,242474.19718266046,806501.4775279764,1212370.9859133025,-9900.0,-42240.0,-159060.0,6173.126351611926
