t,alder,p_i_live,indbetaling_dkk,udbetaling_dkk,omkostning_dkk,faktisk_udgift_dkk,omkostningsresultat_dkk,enhedspris,betinget_aldersopsparing_dkk,betinget_ratepension_dkk,betinget_livrente_dkk,betinget_depot_dkk,forventet_aldersopsparing_dkk,forventet_ratepension_dkk,forventet_livrente_dkk,forventet_depot_dkk,b_aldersopsparing,b_ratepension,b_livrente,b_omkostning
0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,70000.0,168000.0,112000.0,350000.0,70000.0,168000.0,112000.0,350000.0,0.0,0.0,0.0,0.0
0.08333333333333333,40.083333333333336,0.9998363392185211,4400.0,0.0,162.5,129.16666666666666,33.33333333333334,100.40741237836484,71080.91740795392,170726.73956342886,113873.05045242734,355680.70742381015,71069.2842494627,170698.79829181256,113854.41390000092,355622.4964412762,-9900.0,-25344.0,-17556.0,1950.0
0.16666666666666666,40.166666666666664,0.9996717869766595,4400.0,0.0,164.86696142658755,130.5868435226192,34.280117903968346,100.8164846051901,72165.7889883218,173463.44743109905,115752.94572870217,361382.18214812304,72142.10323653619,173406.51446857862,115714.95410442397,361263.5718095388,-9900.0,-25344.0,-17556.0,1978.4035371190507
0.25,40.25,0.9995063368109686,4400.0,0.0,167.24257589505123,132.0122122036974,35.23036369135383,101.22722344290393,73254.62912385099,176210.16004473428,117639.71092461112,367104.5000931964,73218.46601002639,176123.17157518686,117581.63652975934,366923.2741149726,-9900.0,-25344.0,-17556.0,2006.910910740615
0.3333333333333333,40.333333333333336,0.9993399822129418,4400.0,0.0,169.62687503883183,133.44279168996576,36.18408334886607,101.63963568148534,74347.45225286487,178966.91397928016,119533.37122468863,372847.73745683365,74298.38161195551,178848.79263275894,119454.47707353331,372601.6513182478,-9900.0,-25344.0,-17556.0,2035.5225004659821
0.41666666666666663,40.416666666666664,0.999172716628725,4400.0,0.0,172.019890607014,134.87860103087507,37.14128957613892,102.05372813857663,75444.27286930398,181733.74594339172,121433.95190270373,378611.9707153994,75381.85907690127,181583.40063737324,121333.49161358642,378298.7513278609,-9900.0,-25344.0,-17556.0,2064.238687284168
0.49999999999999994,40.5,0.9990045334588261,4400.0,0.0,174.4216544647498,136.31965934551653,38.101995119233266,102.46950765959599,76545.1055227778,184510.69277992198,123341.4783221377,384397.2766248375,76468.90743133925,184327.01855877077,123218.69600732908,384014.62199743907,-9900.0,-25344.0,-17556.0,2093.0598535769977
0.5833333333333333,40.583333333333336,0.998835426057825,4400.0,0.0,176.8321985936823,137.76598582287605,39.06621277080626,102.88698111785068,77649.96481862685,187297.7914664125,125255.97593665338,390203.73222169274,77559.53569298827,187079.66933904382,125110.10609097587,389749.31112300797,-9900.0,-25344.0,-17556.0,2121.986383124188
0.6666666666666666,40.666666666666664,0.9986653877340806,4400.0,0.0,179.25155509237197,139.21759972208986,40.033955370282115,103.30615541465069,78758.86541799418,190095.0791155859,127177.47029055722,396031.41482413735,78653.75287015743,189841.3758913073,127007.73767875884,395502.86644022365,-9900.0,-25344.0,-17556.0,2151.0186611084637
0.75,40.75,0.9984944117494369,4400.0,0.0,181.67975617672386,140.67452037270098,41.005235804022874,103.72703747942278,79871.82203790567,192902.5929758399,129105.98701925427,401880.4020329999,79751.56796109433,192612.16109835234,128911.60656212072,401275.33562156744,-9900.0,-25344.0,-17556.0,2180.1570741206865
0.8333333333333334,40.833333333333336,0.9983224913189276,4400.0,0.0,184.11683418041662,142.13676717491663,41.98006700549999,104.14963426982509,80988.84945135839,195720.37043174362,131041.55184969722,407750.77173279924,80852.98995333367,195392.04781128166,130821.72850888815,407066.7662735035,-9900.0,-25344.0,-17556.0,2209.4020101649994
0.9166666666666667,40.916666666666664,0.9981496196104798,4400.0,0.0,186.56282155533302,143.60435959986648,42.95846195546653,104.57395277186205,82109.96248741652,198548.4490045349,132984.19060082964,413642.6020927811,81958.02782304556,198181.05884812726,132738.11926242564,412877.2059335985,-9900.0,-25344.0,-17556.0,2238.753858663996
1.0,41.0,0.9979757897446153,4400.0,0.0,189.01775087199206,145.0773171898619,43.94043368213016,105.0,83235.17603131446,201386.86635262033,134933.92918402425,419555.97156795906,83066.69053438313,200979.21699244957,134660.79454077058,418706.7020676033,-9900.0,-25344.0,-17556.0,2268.213010463905
1.0833333333333333,41.083333333333336,0.9978009947941513,4400.0,0.0,191.4816548199829,146.55565955865643,44.92599526132648,105.42778299728309,84364.50502456649,204235.66027207673,136890.79360351665,425490.95890015987,84178.98703882862,203786.5449919185,136589.77003574977,424555.30206649686,-9900.0,-25344.0,-17556.0,2297.779857839795
1.1666666666666665,41.166666666666664,0.9976252277838991,4400.0,0.0,193.95456620839994,148.03940639170662,45.91515981669332,105.85730883544962,85497.96446508242,207094.86869715396,138854.8099568344,431447.6431190708,85294.92627453756,206603.06555687488,138525.06141207693,430423.0532434894,-9900.0,-25344.0,-17556.0,2327.4547945007994
1.2499999999999998,41.25,0.9974484816903616,4400.0,0.0,196.4365179662795,149.52857744643435,46.90794051984514,106.28858461504913,86635.56940728943,209964.52970078072,140826.00443522303,437426.1035432932,86414.51716568078,209428.80135887457,140466.68430643334,436310.0028309887,-9900.0,-25344.0,-17556.0,2357.238215595354
1.333333333333333,41.333333333333336,0.9972707494414297,4400.0,0.0,198.9275431430388,151.02319255248995,47.90435059054886,106.72161746555962,87777.33496225881,212844.68149507092,142804.40332406806,443426.4197813978,87537.76862178325,212263.77502921177,142414.65432652953,442216.1979775246,-9900.0,-25344.0,-17556.0,2387.130517716466
