t,alder,p_i_live,indbetaling_dkk,udbetaling_dkk,omkostning_dkk,enhedspris,betinget_aldersopsparing_dkk,betinget_ratepension_dkk,betinget_livrente_dkk,betinget_depot_dkk,forventet_aldersopsparing_dkk,forventet_ratepension_dkk,forventet_livrente_dkk,forventet_depot_dkk,b_aldersopsparing,b_ratepension,b_livrente,b_omkostning
0.0,40.37782340862423,1.0,0.0,0.0,0.0,100.0,0.0,80000.0,50000.0,130000.0,0.0,80000.0,50000.0,130000.0,0.0,0.0,0.0,0.0
0.08333333333333333,40.461156741957566,0.9998321195817066,7500.0,0.0,70.83333333333333,100.41753592911185,0.0,84924.9125012794,53078.07031329961,138002.982814579,0.0,84910.65527144515,53069.15954465321,137979.81481609837,-0.0,-55384.61538461539,-34615.38461538462,850.0
0.16666666666666666,40.544490075290895,0.9996633173449715,7500.0,0.0,74.16790950607458,100.8368152207447,0.0,89868.32766682042,56167.70479176276,146036.03245858318,0.0,89838.07055965858,56148.79409978661,145986.8646594452,-0.0,-55384.61538461539,-34615.38461538462,890.014914072895
0.25,40.62782340862423,0.9994935866147335,7499.999999999998,0.0,77.51501352440965,101.25784515406345,0.0,94830.31501026111,59268.94688141318,154099.2618916743,0.0,94782.29166941087,59238.93229338179,154021.2239627927,-0.0,-55384.615384615376,-34615.38461538461,930.180162292916
0.3333333333333333,40.711156741957566,0.9993229206695191,7500.0,0.0,80.87469245486429,101.68063303862608,0.0,99810.94430639884,62381.84019149928,162192.78449789813,0.0,99743.36437905321,62339.60273690825,162082.96711596145,-0.0,-55384.61538461539,-34615.38461538461,970.4963094583715
0.41666666666666663,40.794490075290895,0.9991513127411472,7499.999999999998,0.0,84.24699354079088,102.10518621451075,0.0,104810.28559217181,65506.428495107386,170316.7140872792,0.0,104721.33443819302,65450.83402387064,170172.16846206365,-0.0,-55384.615384615376,-34615.38461538461,1010.9639224894906
0.49999999999999994,40.87782340862423,0.9989787560144333,7500.0,0.0,87.631964203033,102.53151205244289,0.0,109828.40916764352,68642.7557297772,178471.16489742073,0.0,109716.2475653367,68572.65472833544,178288.90229367217,-0.0,-55384.61538461539,-34615.38461538462,1051.583570436396
0.5833333333333333,40.961156741957566,0.9988052436268915,7500.0,0.0,91.02965204059196,102.95961795392347,0.0,114865.38559699153,71790.8659981197,186656.25159511121,0.0,114728.14944549996,71705.09340343747,186433.2428489374,-0.0,-55384.61538461539,-34615.38461538462,1092.3558244871035
0.6666666666666666,41.044490075290895,0.9986307686684354,7500.0,0.0,94.44010483129637,103.38951135135741,0.0,119921.28570949983,74950.80356843738,194872.0892779372,0.0,119757.08572778487,74848.17857986552,194605.2643076504,-0.0,-55384.61538461539,-34615.38461538461,1133.2812579755564
0.75,41.12782340862423,0.9984553241810772,7500.0,0.0,97.86337053247382,103.8211997081825,0.0,124996.18060055448,78122.61287534655,203118.793475901,0.0,124803.10202292309,78001.93876432693,202805.04078725,-0.0,-55384.61538461539,-34615.38461538461,1174.3604463896859
0.8333333333333334,41.211156741957566,0.9982789031586261,7500.0,0.0,101.29949728162542,104.25469051899914,0.0,130090.14163264372,81306.3385204023,211396.48015304602,0.0,129866.24390078589,81166.40243799117,211032.64633877706,-0.0,-55384.61538461539,-34615.38461538461,1215.593967379505
0.9166666666666667,41.294490075290895,0.9981014985463844,7500.0,0.0,104.7485333971025,104.68999130970033,0.0,135203.2404363612,84502.02527272573,219705.26570908693,0.0,134946.55688785922,84341.598054912,219288.15494277125,-0.0,-55384.61538461539,-34615.38461538461,1256.98240076523
1.0,41.37782340862423,0.9979231032408429,7500.0,0.0,108.21052737878621,105.12710963760242,0.0,140335.5489114134,87709.71806963337,228045.26698104676,0.0,140044.08646468475,87527.55404042796,227571.6405051127,-0.0,-55384.61538461539,-34615.38461538461,1298.5263285454346
1.0833333333333333,41.461156741957566,0.997743710089374,7500.0,0.0,111.68552790876949,105.56605309157621,0.0,145487.13922763057,90929.46201726908,236416.60124489965,0.0,145158.87806326544,90724.29878954086,235883.1768528063,-0.0,-55384.61538461539,-34615.38461538461,1340.226334905234
1.1666666666666665,41.544490075290895,0.9975633118899246,7500.0,0.0,115.17358385204153,106.00682929217882,0.0,150658.08382598162,94161.3023912385,244819.3862172201,0.0,150290.97706443613,93931.86066527256,244222.83772970867,-0.0,-55384.61538461539,-34615.38461538461,1382.0830062244984
1.2499999999999998,41.62782340862423,0.9973819013907064,7500.0,0.0,118.67474425717504,106.44944589178593,0.0,155848.4554195928,97405.28463724547,253253.74005683826,0.0,155440.42879519818,97150.26799699884,252590.69679219704,-0.0,-55384.61538461539,-34615.38461538461,1424.0969310861005
1.333333333333333,41.711156741957566,0.9971994712898853,7500.0,0.0,122.18905835701594,106.89391057472464,0.0,161058.32699477015,100661.4543717313,261719.78136650147,0.0,160607.27852601826,100379.54907876137,260986.82760477962,-0.0,-55384.61538461539,-34615.38461538461,1466.2687002841913
1.4166666666666663,41.794490075290895,0.9970160142352693,7500.0,0.0,125.7165755693756,107.3402310574068,0.0,166287.77181202566,103929.85738251601,270217.62919454166,0.0,165791.5714680898,103619.7321675561,269411.3036356459,-0.0,-55384.61538461539,-34615.38461538461,1508.5989068325073
1.4999999999999996,41.87782340862423,0.9968315228239953,7500.0,0.0,129.25734549772568,107.78841508846315,0.0,171536.8634071079,107210.53962944241,278747.4030365503,0.0,170993.35277055905,106870.84548159938,277864.1982521585,-0.0,-55384.6153846154,-34615.38461538461,1551.0881459727084
